alias,csv_column,type,log_transformed,alr_transformed,alr_reference
age_group,subject.ageGroup,discrete_root,FALSE,FALSE,NA
sex,subject.biologicalSex,discrete_root,FALSE,FALSE,NA
cmv,cmv.igg_serology_interpretation,discrete_root,FALSE,FALSE,NA
l2_erythrocyte,freq.L2_erythrocyte,continuous,FALSE,FALSE,NA
l2_ilc,freq.L2_ilc,continuous,FALSE,FALSE,NA
l2_platelet,freq.L2_platelet,continuous,FALSE,FALSE,NA
l2_progenitor_cell,freq.L2_progenitor_cell,continuous,FALSE,FALSE,NA
l3_asdc,freq.L3_asdc,continuous,FALSE,FALSE,NA
l3_cd56bright_nk_cell,freq.L3_cd56bright_nk_cell,continuous,FALSE,FALSE,NA
l3_cd8aa,freq.L3_cd8aa,continuous,FALSE,FALSE,NA
l3_cdc1,freq.L3_cdc1,continuous,FALSE,FALSE,NA
l3_dn_t_cell,freq.L3_dn_t_cell,continuous,FALSE,FALSE,NA
l3_erythrocyte,freq.L3_erythrocyte,continuous,FALSE,FALSE,NA
l3_ilc,freq.L3_ilc,continuous,FALSE,FALSE,NA
l3_intermediate_monocyte,freq.L3_intermediate_monocyte,continuous,FALSE,FALSE,NA
l3_pdc,freq.L3_pdc,continuous,FALSE,FALSE,NA
l3_plasma_cell,freq.L3_plasma_cell,continuous,FALSE,FALSE,NA
l3_platelet,freq.L3_platelet,continuous,FALSE,FALSE,NA
l3_proliferating_nk_cell,freq.L3_proliferating_nk_cell,continuous,FALSE,FALSE,NA
l3_proliferating_t_cell,freq.L3_proliferating_t_cell,continuous,FALSE,FALSE,NA
l3_transitional_b_cell,freq.L3_transitional_b_cell,continuous,FALSE,FALSE,NA
l3_baeomap_cell,freq.L3_baeomap_cell,continuous,FALSE,FALSE,NA
l2_effector_b_cell_alr,freq.L2_effector_b_cell,continuous,FALSE,TRUE,l2_naive_b_cell
l2_memory_b_cell_alr,freq.L2_memory_b_cell,continuous,FALSE,TRUE,l2_naive_b_cell
l2_plasma_cell_alr,freq.L2_plasma_cell,continuous,FALSE,TRUE,l2_naive_b_cell
l2_transitional_b_cell_alr,freq.L2_transitional_b_cell,continuous,FALSE,TRUE,l2_naive_b_cell
l2_asdc_alr,freq.L2_asdc,continuous,FALSE,TRUE,l2_cdc2
l2_cdc1_alr,freq.L2_cdc1,continuous,FALSE,TRUE,l2_cdc2
l2_pdc_alr,freq.L2_pdc,continuous,FALSE,TRUE,l2_cdc2
l2_cd16_monocyte_alr,freq.L2_cd16_monocyte,continuous,FALSE,TRUE,l2_cd14_monocyte
l2_intermediate_monocyte_alr,freq.L2_intermediate_monocyte,continuous,FALSE,TRUE,l2_cd14_monocyte
l2_cd56bright_nk_cell_alr,freq.L2_cd56bright_nk_cell,continuous,FALSE,TRUE,l2_cd56dim_nk_cell
l2_proliferating_nk_cell_alr,freq.L2_proliferating_nk_cell,continuous,FALSE,TRUE,l2_cd56dim_nk_cell
