alias,csv_column,type,log_transformed
age_group,subject.ageGroup,discrete_root,FALSE
sex,subject.biologicalSex,discrete_root,FALSE
cmv,cmv.igg_serology_interpretation,discrete_root,FALSE
cm_cd4_t_cell_ifn_alpha,pb.cm_cd4_t_cell_ifn_alpha,continuous,FALSE
cm_cd4_t_cell_ifn_gamma,pb.cm_cd4_t_cell_ifn_gamma,continuous,FALSE
cm_cd4_t_cell_il2_stat5,pb.cm_cd4_t_cell_il2_stat5,continuous,FALSE
cm_cd4_t_cell_il6_jak_stat3,pb.cm_cd4_t_cell_il6_jak_stat3,continuous,FALSE
cm_cd4_t_cell_inflammatory,pb.cm_cd4_t_cell_inflammatory,continuous,FALSE
cm_cd4_t_cell_tnfa_nfkb,pb.cm_cd4_t_cell_tnfa_nfkb,continuous,FALSE
cd56bright_nk_cell_ifn_alpha,pb.cd56bright_nk_cell_ifn_alpha,continuous,FALSE
cd56bright_nk_cell_ifn_gamma,pb.cd56bright_nk_cell_ifn_gamma,continuous,FALSE
cd56bright_nk_cell_il2_stat5,pb.cd56bright_nk_cell_il2_stat5,continuous,FALSE
cd56bright_nk_cell_il6_jak_stat3,pb.cd56bright_nk_cell_il6_jak_stat3,continuous,FALSE
cd56bright_nk_cell_inflammatory,pb.cd56bright_nk_cell_inflammatory,continuous,FALSE
cd56bright_nk_cell_tnfa_nfkb,pb.cd56bright_nk_cell_tnfa_nfkb,continuous,FALSE
gzmb_cd27_em_cd4_t_cell_ifn_alpha,pb.gzmb_cd27_em_cd4_t_cell_ifn_alpha,continuous,FALSE
gzmb_cd27_em_cd4_t_cell_ifn_gamma,pb.gzmb_cd27_em_cd4_t_cell_ifn_gamma,continuous,FALSE
gzmb_cd27_em_cd4_t_cell_il2_stat5,pb.gzmb_cd27_em_cd4_t_cell_il2_stat5,continuous,FALSE
gzmb_cd27_em_cd4_t_cell_il6_jak_stat3,pb.gzmb_cd27_em_cd4_t_cell_il6_jak_stat3,continuous,FALSE
gzmb_cd27_em_cd4_t_cell_inflammatory,pb.gzmb_cd27_em_cd4_t_cell_inflammatory,continuous,FALSE
gzmb_cd27_em_cd4_t_cell_tnfa_nfkb,pb.gzmb_cd27_em_cd4_t_cell_tnfa_nfkb,continuous,FALSE
core_naive_cd8_t_cell_ifn_alpha,pb.core_naive_cd8_t_cell_ifn_alpha,continuous,FALSE
core_naive_cd8_t_cell_ifn_gamma,pb.core_naive_cd8_t_cell_ifn_gamma,continuous,FALSE
core_naive_cd8_t_cell_il2_stat5,pb.core_naive_cd8_t_cell_il2_stat5,continuous,FALSE
core_naive_cd8_t_cell_il6_jak_stat3,pb.core_naive_cd8_t_cell_il6_jak_stat3,continuous,FALSE
core_naive_cd8_t_cell_inflammatory,pb.core_naive_cd8_t_cell_inflammatory,continuous,FALSE
core_naive_cd8_t_cell_tnfa_nfkb,pb.core_naive_cd8_t_cell_tnfa_nfkb,continuous,FALSE
core_naive_b_cell_ifn_alpha,pb.core_naive_b_cell_ifn_alpha,continuous,FALSE
core_naive_b_cell_ifn_gamma,pb.core_naive_b_cell_ifn_gamma,continuous,FALSE
core_naive_b_cell_il2_stat5,pb.core_naive_b_cell_il2_stat5,continuous,FALSE
core_naive_b_cell_il6_jak_stat3,pb.core_naive_b_cell_il6_jak_stat3,continuous,FALSE
core_naive_b_cell_inflammatory,pb.core_naive_b_cell_inflammatory,continuous,FALSE
