alias,csv_column,modality,type,log_transformed,alr_transformed,alr_reference
age_group,subject.ageGroup,subject,discrete_root,FALSE,FALSE,NA
sex,subject.biologicalSex,subject,discrete_root,FALSE,FALSE,NA
cmv,cmv.igg_serology_interpretation,cmv,discrete_root,FALSE,FALSE,NA
bc_basophil_count,clinical.bc.basophil_count,clinical,continuous,FALSE,FALSE,NA
bc_eosinophil_count,clinical.bc.eosinophil_count,clinical,continuous,FALSE,FALSE,NA
bc_hematocrit,clinical.bc.hematocrit,clinical,continuous,FALSE,FALSE,NA
bc_hemoglobin,clinical.bc.hemoglobin,clinical,continuous,FALSE,FALSE,NA
bc_lymphocyte_count,clinical.bc.lymphocyte_count,clinical,continuous,FALSE,FALSE,NA
bc_monocyte_count,clinical.bc.monocyte_count,clinical,continuous,FALSE,FALSE,NA
bc_mpv,clinical.bc.mpv,clinical,continuous,FALSE,FALSE,NA
bc_neutrophil_count,clinical.bc.neutrophil_count,clinical,continuous,FALSE,FALSE,NA
bc_platelet_count,clinical.bc.platelet_count,clinical,continuous,FALSE,FALSE,NA
bc_rdw,clinical.bc.rdw,clinical,continuous,FALSE,FALSE,NA
bc_red_blood_cell_count,clinical.bc.red_blood_cell_count,clinical,continuous,FALSE,FALSE,NA
bc_wbc,clinical.bc.wbc,clinical,continuous,FALSE,FALSE,NA
chem_albumin,clinical.chem.albumin,clinical,continuous,FALSE,FALSE,NA
chem_alkaline_phosphatase,clinical.chem.alkaline_phosphatase,clinical,continuous,FALSE,FALSE,NA
chem_alt,clinical.chem.alt,clinical,continuous,TRUE,FALSE,NA
chem_ast,clinical.chem.ast,clinical,continuous,TRUE,FALSE,NA
chem_bun,clinical.chem.bun,clinical,continuous,FALSE,FALSE,NA
chem_calcium,clinical.chem.calcium,clinical,continuous,FALSE,FALSE,NA
chem_cl,clinical.chem.cl,clinical,continuous,FALSE,FALSE,NA
chem_co2,clinical.chem.co2,clinical,continuous,FALSE,FALSE,NA
chem_creatinine,clinical.chem.creatinine,clinical,continuous,FALSE,FALSE,NA
chem_globin,clinical.chem.globin,clinical,continuous,FALSE,FALSE,NA
chem_glucose,clinical.chem.glucose,clinical,continuous,TRUE,FALSE,NA
chem_potassium,clinical.chem.potassium,clinical,continuous,FALSE,FALSE,NA
chem_protein,clinical.chem.protein,clinical,continuous,FALSE,FALSE,NA
chem_sodium,clinical.chem.sodium,clinical,continuous,FALSE,FALSE,NA
chem_t_bili,clinical.chem.t_bili,clinical,continuous,FALSE,FALSE,NA
infl_esr,clinical.infl.esr,clinical,continuous,TRUE,FALSE,NA
infl_hs_crp,clinical.infl.hs_crp,clinical,continuous,TRUE,FALSE,NA
lip_cholesterol_hdl,clinical.lip.cholesterol_hdl,clinical,continuous,FALSE,FALSE,NA
lip_cholesterol_ldl,clinical.lip.cholesterol_ldl,clinical,continuous,FALSE,FALSE,NA
lip_cholesterol_total,clinical.lip.cholesterol_total,clinical,continuous,FALSE,FALSE,NA
lip_triglycerides,clinical.lip.triglycerides,clinical,continuous,TRUE,FALSE,NA
IL6,olink.IL6,olink,continuous,FALSE,FALSE,NA
TNF,olink.TNF,olink,continuous,FALSE,FALSE,NA
CXCL8,olink.CXCL8,olink,continuous,FALSE,FALSE,NA
CXCL9,olink.CXCL9,olink,continuous,FALSE,FALSE,NA
GDF15,olink.GDF15,olink,continuous,FALSE,FALSE,NA
