alias,csv_column,type,log_transformed
age_group,subject.ageGroup,discrete_root,FALSE
sex,subject.biologicalSex,discrete_root,FALSE
cmv,cmv.igg_serology_interpretation,discrete_root,FALSE
weight,clinical.am.weight,continuous,FALSE
basophils,clinical.bc.basophil_count,continuous,FALSE
eosinophils,clinical.bc.eosinophil_count,continuous,FALSE
hematocrit,clinical.bc.hematocrit,continuous,FALSE
hemoglobin,clinical.bc.hemoglobin,continuous,FALSE
lymphocytes,clinical.bc.lymphocyte_count,continuous,FALSE
mch,clinical.bc.mch,continuous,FALSE
mchc,clinical.bc.mchc,continuous,FALSE
mcv,clinical.bc.mcv,continuous,FALSE
monocytes,clinical.bc.monocyte_count,continuous,FALSE
mpv,clinical.bc.mpv,continuous,FALSE
neutrophils,clinical.bc.neutrophil_count,continuous,FALSE
perc_basophils,clinical.bc.perc_basophils,continuous,FALSE
perc_eosinophils,clinical.bc.perc_eosinophils,continuous,FALSE
perc_lymphocytes,clinical.bc.perc_lymphocytes,continuous,FALSE
perc_monocytes,clinical.bc.perc_monocytes,continuous,FALSE
perc_neutrophils,clinical.bc.perc_neutrophils,continuous,FALSE
platelets,clinical.bc.platelet_count,continuous,FALSE
rdw,clinical.bc.rdw,continuous,FALSE
rbc,clinical.bc.red_blood_cell_count,continuous,FALSE
wbc,clinical.bc.wbc,continuous,FALSE
albumin,clinical.chem.albumin,continuous,FALSE
alk_phos,clinical.chem.alkaline_phosphatase,continuous,FALSE
alt,clinical.chem.alt,continuous,TRUE
ast,clinical.chem.ast,continuous,TRUE
bun,clinical.chem.bun,continuous,FALSE
calcium,clinical.chem.calcium,continuous,FALSE
chloride,clinical.chem.cl,continuous,FALSE
co2,clinical.chem.co2,continuous,FALSE
creatinine,clinical.chem.creatinine,continuous,FALSE
globulin,clinical.chem.globin,continuous,FALSE
glucose,clinical.chem.glucose,continuous,TRUE
potassium,clinical.chem.potassium,continuous,FALSE
protein,clinical.chem.protein,continuous,FALSE
sodium,clinical.chem.sodium,continuous,FALSE
t_bili,clinical.chem.t_bili,continuous,FALSE
esr,clinical.infl.esr,continuous,TRUE
crp,clinical.infl.hs_crp,continuous,TRUE
hdl_ratio,clinical.lip.chlesterol_hdl_ratio,continuous,FALSE
hdl,clinical.lip.cholesterol_hdl,continuous,FALSE
ldl,clinical.lip.cholesterol_ldl,continuous,FALSE
non_hdl,clinical.lip.cholesterol_non_hdl,continuous,FALSE
total_chol,clinical.lip.cholesterol_total,continuous,FALSE
triglycerides,clinical.lip.triglycerides,continuous,TRUE
