alias,csv_column,type,log_transformed
age_group,subject.ageGroup,discrete_root,FALSE
sex,subject.biologicalSex,discrete_root,FALSE
cmv,cmv.igg_serology_interpretation,discrete_root,FALSE
IL6,olink.IL6,continuous,FALSE
TNF,olink.TNF,continuous,FALSE
CXCL8,olink.CXCL8,continuous,FALSE
CXCL9,olink.CXCL9,continuous,FALSE
CXCL10,olink.CXCL10,continuous,FALSE
CXCL11,olink.CXCL11,continuous,FALSE
IFNG,olink.IFNG,continuous,FALSE
IL18,olink.IL18,continuous,FALSE
IL10,olink.IL10,continuous,FALSE
IL1RN,olink.IL1RN,continuous,FALSE
IL7,olink.IL7,continuous,FALSE
IL15,olink.IL15,continuous,FALSE
CCL2,olink.CCL2,continuous,FALSE
CCL3,olink.CCL3,continuous,FALSE
CCL4,olink.CCL4,continuous,FALSE
CCL8,olink.CCL8,continuous,FALSE
CCL11,olink.CCL11,continuous,FALSE
GDF15,olink.GDF15,continuous,FALSE
FGF21,olink.FGF21,continuous,FALSE
CHI3L1,olink.CHI3L1,continuous,FALSE
IGFBP7,olink.IGFBP7,continuous,FALSE
TNFRSF1A,olink.TNFRSF1A,continuous,FALSE
TNFRSF1B,olink.TNFRSF1B,continuous,FALSE
CD8A,olink.CD8A,continuous,FALSE
GZMA,olink.GZMA,continuous,FALSE
GZMB,olink.GZMB,continuous,FALSE
KLRD1,olink.KLRD1,continuous,FALSE
MMP12,olink.MMP12,continuous,FALSE
VEGFA,olink.VEGFA,continuous,FALSE
PDCD1,olink.PDCD1,continuous,FALSE
LAG3,olink.LAG3,continuous,FALSE
HAVCR2,olink.HAVCR2,continuous,FALSE
CD274,olink.CD274,continuous,FALSE
LEP,olink.LEP,continuous,FALSE
