alias,csv_column,type,log_transformed
age_group,subject.ageGroup,discrete_root,FALSE
sex,subject.biologicalSex,discrete_root,FALSE
cmv,cmv.igg_serology_interpretation,discrete_root,FALSE
e2f_targets,wb.e2f_targets,continuous,FALSE
g2_m_checkpoint,wb.g2_m_checkpoint,continuous,FALSE
mitotic_spindle,wb.mitotic_spindle,continuous,FALSE
myc_targets_v1,wb.myc_targets_v1,continuous,FALSE
myc_targets_v2,wb.myc_targets_v2,continuous,FALSE
dna_repair,wb.dna_repair,continuous,FALSE
p53_pathway,wb.p53_pathway,continuous,FALSE
uv_response_dn,wb.uv_response_dn,continuous,FALSE
uv_response_up,wb.uv_response_up,continuous,FALSE
unfolded_protein_response,wb.unfolded_protein_response,continuous,FALSE
reactive_oxygen_species_pathway,wb.reactive_oxygen_species_pathway,continuous,FALSE
hypoxia,wb.hypoxia,continuous,FALSE
inflammatory_response,wb.inflammatory_response,continuous,FALSE
interferon_alpha_response,wb.interferon_alpha_response,continuous,FALSE
interferon_gamma_response,wb.interferon_gamma_response,continuous,FALSE
tnf_alpha_signaling_via_nf_kb,wb.tnf_alpha_signaling_via_nf_kb,continuous,FALSE
il_2_stat5_signaling,wb.il_2_stat5_signaling,continuous,FALSE
il_6_jak_stat3_signaling,wb.il_6_jak_stat3_signaling,continuous,FALSE
complement,wb.complement,continuous,FALSE
coagulation,wb.coagulation,continuous,FALSE
allograft_rejection,wb.allograft_rejection,continuous,FALSE
pi3k_akt_mtor_signaling,wb.pi3k_akt_mtor_signaling,continuous,FALSE
mtorc1_signaling,wb.mtorc1_signaling,continuous,FALSE
kras_signaling_up,wb.kras_signaling_up,continuous,FALSE
kras_signaling_dn,wb.kras_signaling_dn,continuous,FALSE
tgf_beta_signaling,wb.tgf_beta_signaling,continuous,FALSE
wnt_beta_catenin_signaling,wb.wnt_beta_catenin_signaling,continuous,FALSE
notch_signaling,wb.notch_signaling,continuous,FALSE
hedgehog_signaling,wb.hedgehog_signaling,continuous,FALSE
glycolysis,wb.glycolysis,continuous,FALSE
oxidative_phosphorylation,wb.oxidative_phosphorylation,continuous,FALSE
fatty_acid_metabolism,wb.fatty_acid_metabolism,continuous,FALSE
bile_acid_metabolism,wb.bile_acid_metabolism,continuous,FALSE
cholesterol_homeostasis,wb.cholesterol_homeostasis,continuous,FALSE
heme_metabolism,wb.heme_metabolism,continuous,FALSE
xenobiotic_metabolism,wb.xenobiotic_metabolism,continuous,FALSE
pperoxisome,wb.pperoxisome,continuous,FALSE
adipogenesis,wb.adipogenesis,continuous,FALSE
myogenesis,wb.myogenesis,continuous,FALSE
spermatogenesis,wb.spermatogenesis,continuous,FALSE
pancreas_beta_cells,wb.pancreas_beta_cells,continuous,FALSE
epithelial_mesenchymal_transition,wb.epithelial_mesenchymal_transition,continuous,FALSE
angiogenesis,wb.angiogenesis,continuous,FALSE
androgen_response,wb.androgen_response,continuous,FALSE
estrogen_response_early,wb.estrogen_response_early,continuous,FALSE
estrogen_response_late,wb.estrogen_response_late,continuous,FALSE
apical_junction,wb.apical_junction,continuous,FALSE
apical_surface,wb.apical_surface,continuous,FALSE
apoptosis,wb.apoptosis,continuous,FALSE
protein_secretion,wb.protein_secretion,continuous,FALSE
