"from","to","strength","direction","in_final_dag"
"bc_hematocrit","bc_hemoglobin",1,0.516483516483517,TRUE
"bc_neutrophil_count","bc_wbc",1,0.527472527472527,TRUE
"chem_ast","chem_alt",1,0.502497502497502,TRUE
"lip_cholesterol_ldl","lip_cholesterol_total",1,0.504495504495505,TRUE
"l2_progenitor_cell","l1_progenitor_cell_alr",1,0.514485514485514,TRUE
"l3_asdc","l2_asdc_alr",1,0.503496503496504,TRUE
"l3_cd56bright_nk_cell","l2_cd56bright_nk_cell_alr",1,0.574425574425574,TRUE
"l3_dn_t_cell","l2_dn_t_cell_alr",1,0.596403596403596,TRUE
"l3_ilc","l1_ilc_alr",1,0.513486513486513,TRUE
"l3_proliferating_t_cell","l2_proliferating_t_cell_alr",1,0.689310689310689,TRUE
"pb_cd14_cdc2_ifn_gamma","pb_cd14_cdc2_ifn_alpha",1,0.53046953046953,TRUE
"pb_cd56bright_nk_cell_ifn_alpha","pb_cd56bright_nk_cell_ifn_gamma",1,0.514485514485514,TRUE
"pb_cd8_mait_ifn_alpha","pb_cd8_mait_ifn_gamma",1,0.528471528471529,TRUE
"pb_cm_cd4_t_cell_ifn_alpha","pb_cm_cd4_t_cell_ifn_gamma",1,0.508491508491508,TRUE
"pb_cm_cd8_t_cell_ifn_alpha","pb_cm_cd8_t_cell_ifn_gamma",1,0.606393606393606,TRUE
"pb_core_cd14_monocyte_ifn_alpha","pb_core_cd14_monocyte_ifn_gamma",1,0.504495504495505,TRUE
"pb_core_cd14_monocyte_il2_stat5","pb_isg_cd14_monocyte_il2_stat5",1,0.687312687312687,TRUE
"pb_core_cd14_monocyte_il6_jak_stat3","pb_isg_cd14_monocyte_il6_jak_stat3",1,0.758741258741259,TRUE
"pb_core_cd16_monocyte_ifn_gamma","pb_core_cd16_monocyte_ifn_alpha",1,0.507492507492508,TRUE
"pb_core_naive_b_cell_ifn_alpha","pb_core_naive_b_cell_ifn_gamma",1,0.502497502497502,TRUE
"pb_gzmk_cd56dim_nk_cell_ifn_alpha","pb_gzmk_cd56dim_nk_cell_ifn_gamma",1,0.536463536463537,TRUE
"pb_gzmk_vd2_gdt_ifn_gamma","pb_gzmk_vd2_gdt_ifn_alpha",1,0.517482517482518,TRUE
"pb_hla_drhi_cdc2_ifn_gamma","pb_hla_drhi_cdc2_ifn_alpha",1,0.543456543456543,TRUE
"pb_intermediate_monocyte_ifn_gamma","pb_intermediate_monocyte_ifn_alpha",1,0.513486513486514,TRUE
"pb_isg_cd14_monocyte_ifn_gamma","pb_isg_cd14_monocyte_ifn_alpha",1,0.511488511488512,TRUE
"pb_isg_cd14_monocyte_tnfa_nfkb","pb_core_cd14_monocyte_tnfa_nfkb",1,0.51048951048951,TRUE
"pb_isg_memory_cd4_t_cell_ifn_gamma","pb_isg_memory_cd4_t_cell_ifn_alpha",1,0.513986013986014,TRUE
"pb_klrb1_memory_cd4_treg_ifn_alpha","pb_klrb1_memory_cd4_treg_ifn_gamma",1,0.504495504495505,TRUE
"pb_klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma","pb_klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha",1,0.526973026973027,TRUE
"pb_memory_cd4_treg_ifn_gamma","pb_memory_cd4_treg_ifn_alpha",1,0.514485514485514,TRUE
"pb_naive_cd4_treg_ifn_gamma","pb_naive_cd4_treg_ifn_alpha",1,0.505494505494506,TRUE
"pb_pdc_ifn_alpha","pb_pdc_ifn_gamma",1,0.513486513486513,TRUE
"wb_g2_m_checkpoint","wb_e2f_targets",1,0.510489510489511,TRUE
"l2_memory_b_cell_alr","l2_effector_b_cell_alr",1,0.505494505494506,TRUE
"l2_plasma_cell_alr","l3_plasma_cell",1,0.508491508491508,TRUE
"l2_transitional_b_cell_alr","l3_transitional_b_cell",1,0.791208791208791,TRUE
"l2_cdc1_alr","l3_cdc1",1,0.516483516483517,TRUE
"l2_pdc_alr","l3_pdc",1,0.507492507492507,TRUE
"l2_intermediate_monocyte_alr","l3_intermediate_monocyte",1,0.521478521478522,TRUE
"l2_cd8aa_alr","l3_cd8aa",1,0.525474525474525,TRUE
