from,to,constraint
freq.L1_b_cell,subject.ageGroup,blacklist
freq.L1_dc,subject.ageGroup,blacklist
freq.L1_erythrocyte,subject.ageGroup,blacklist
freq.L1_ilc,subject.ageGroup,blacklist
freq.L1_monocyte,subject.ageGroup,blacklist
freq.L1_nk_cell,subject.ageGroup,blacklist
freq.L1_platelet,subject.ageGroup,blacklist
freq.L1_progenitor_cell,subject.ageGroup,blacklist
freq.L1_t_cell,subject.ageGroup,blacklist
freq.L2_asdc,subject.ageGroup,blacklist
freq.L2_cd14_monocyte,subject.ageGroup,blacklist
freq.L2_cd16_monocyte,subject.ageGroup,blacklist
freq.L2_cd56bright_nk_cell,subject.ageGroup,blacklist
freq.L2_cd56dim_nk_cell,subject.ageGroup,blacklist
freq.L2_cd8aa,subject.ageGroup,blacklist
freq.L2_cdc1,subject.ageGroup,blacklist
freq.L2_cdc2,subject.ageGroup,blacklist
freq.L2_dn_t_cell,subject.ageGroup,blacklist
freq.L2_effector_b_cell,subject.ageGroup,blacklist
freq.L2_erythrocyte,subject.ageGroup,blacklist
freq.L2_gdt,subject.ageGroup,blacklist
freq.L2_ilc,subject.ageGroup,blacklist
freq.L2_intermediate_monocyte,subject.ageGroup,blacklist
freq.L2_mait,subject.ageGroup,blacklist
freq.L2_memory_b_cell,subject.ageGroup,blacklist
freq.L2_memory_cd4_t_cell,subject.ageGroup,blacklist
freq.L2_memory_cd8_t_cell,subject.ageGroup,blacklist
freq.L2_naive_b_cell,subject.ageGroup,blacklist
freq.L2_naive_cd4_t_cell,subject.ageGroup,blacklist
freq.L2_naive_cd8_t_cell,subject.ageGroup,blacklist
freq.L2_pdc,subject.ageGroup,blacklist
freq.L2_plasma_cell,subject.ageGroup,blacklist
freq.L2_platelet,subject.ageGroup,blacklist
freq.L2_progenitor_cell,subject.ageGroup,blacklist
freq.L2_proliferating_nk_cell,subject.ageGroup,blacklist
freq.L2_proliferating_t_cell,subject.ageGroup,blacklist
freq.L2_transitional_b_cell,subject.ageGroup,blacklist
freq.L2_treg,subject.ageGroup,blacklist
freq.L3_activated_memory_b_cell,subject.ageGroup,blacklist
freq.L3_adaptive_nk_cell,subject.ageGroup,blacklist
freq.L3_asdc,subject.ageGroup,blacklist
freq.L3_baeomap_cell,subject.ageGroup,blacklist
