node,tier
subject.ageGroup,0
subject.biologicalSex,0
cmv.igg_serology_interpretation,0
freq.L1_b_cell,1
freq.L1_dc,1
freq.L1_erythrocyte,1
freq.L1_ilc,1
freq.L1_monocyte,1
freq.L1_nk_cell,1
freq.L1_platelet,1
freq.L1_progenitor_cell,1
freq.L1_t_cell,1
freq.L2_asdc,1
freq.L2_cd14_monocyte,1
freq.L2_cd16_monocyte,1
freq.L2_cd56bright_nk_cell,1
freq.L2_cd56dim_nk_cell,1
freq.L2_cd8aa,1
freq.L2_cdc1,1
freq.L2_cdc2,1
freq.L2_dn_t_cell,1
freq.L2_effector_b_cell,1
freq.L2_erythrocyte,1
freq.L2_gdt,1
freq.L2_ilc,1
freq.L2_intermediate_monocyte,1
freq.L2_mait,1
freq.L2_memory_b_cell,1
freq.L2_memory_cd4_t_cell,1
freq.L2_memory_cd8_t_cell,1
freq.L2_naive_b_cell,1
freq.L2_naive_cd4_t_cell,1
freq.L2_naive_cd8_t_cell,1
freq.L2_pdc,1
freq.L2_plasma_cell,1
freq.L2_platelet,1
freq.L2_progenitor_cell,1
freq.L2_proliferating_nk_cell,1
freq.L2_proliferating_t_cell,1
freq.L2_transitional_b_cell,1
freq.L2_treg,1
freq.L3_activated_memory_b_cell,1
freq.L3_adaptive_nk_cell,1
freq.L3_asdc,1
freq.L3_baeomap_cell,1
freq.L3_c1q_cd16_monocyte,1
freq.L3_cd14_cdc2,1
freq.L3_cd27_effector_b_cell,1
freq.L3_cd4_mait,1
freq.L3_cd56bright_nk_cell,1
freq.L3_cd8_mait,1
freq.L3_cd8aa,1
freq.L3_cd95_memory_b_cell,1
freq.L3_cdc1,1
freq.L3_clp_cell,1
freq.L3_cm_cd4_t_cell,1
freq.L3_cm_cd8_t_cell,1
freq.L3_cmp_cell,1
freq.L3_core_cd14_monocyte,1
freq.L3_core_cd16_monocyte,1
freq.L3_core_memory_b_cell,1
freq.L3_core_naive_b_cell,1
freq.L3_core_naive_cd4_t_cell,1
freq.L3_core_naive_cd8_t_cell,1
freq.L3_dn_t_cell,1
freq.L3_early_memory_b_cell,1
freq.L3_erythrocyte,1
freq.L3_gzmb_cd27_em_cd4_t_cell,1
freq.L3_gzmb_vd2_gdt,1
freq.L3_gzmk_cd27_em_cd8_t_cell,1
freq.L3_gzmk_cd56dim_nk_cell,1
freq.L3_gzmk_memory_cd4_treg,1
freq.L3_gzmk_vd2_gdt,1
freq.L3_hla_drhi_cdc2,1
freq.L3_il1b_cd14_monocyte,1
freq.L3_ilc,1
freq.L3_intermediate_monocyte,1
freq.L3_isg_cd14_monocyte,1
freq.L3_isg_cd16_monocyte,1
freq.L3_isg_cd56dim_nk_cell,1
freq.L3_isg_cdc2,1
freq.L3_isg_mait,1
freq.L3_isg_memory_cd4_t_cell,1
freq.L3_isg_memory_cd8_t_cell,1
freq.L3_isg_naive_b_cell,1
freq.L3_isg_naive_cd4_t_cell,1
freq.L3_isg_naive_cd8_t_cell,1
freq.L3_klrb1_memory_cd4_treg,1
freq.L3_klrb1_memory_cd8_treg,1
freq.L3_klrf1_effector_vd1_gdt,1
freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell,1
freq.L3_klrf1_gzmb_cd27_memory_cd4_t_cell,1
freq.L3_memory_cd4_treg,1
freq.L3_memory_cd8_treg,1
freq.L3_naive_cd4_treg,1
freq.L3_naive_vd1_gdt,1
freq.L3_pdc,1
freq.L3_plasma_cell,1
freq.L3_platelet,1
freq.L3_proliferating_nk_cell,1
freq.L3_proliferating_t_cell,1
freq.L3_sox4_naive_cd4_t_cell,1
freq.L3_sox4_naive_cd8_t_cell,1
freq.L3_sox4_vd1_gdt,1
freq.L3_transitional_b_cell,1
freq.L3_type_2_polarized_memory_b_cell,1
olink.IL6,1
olink.TNF,1
olink.CXCL8,1
olink.CXCL9,1
olink.GDF15,1
olink.CCL11,1
olink.TNFRSF1A,1
olink.CD8A,1
olink.GZMA,1
olink.GZMB,1
olink.KLRD1,1
olink.FGF21,1
olink.CHI3L1,1
olink.IL18,1
olink.CXCL10,1
olink.CXCL11,1
olink.IFNG,1
olink.CCL2,1
olink.CCL8,1
olink.CCL3,1
olink.CCL4,1
olink.TNFRSF1B,1
olink.MMP9,1
olink.MMP12,1
olink.IGFBP7,1
olink.VEGFA,1
olink.IL10,1
olink.IL1RN,1
olink.IL7,1
olink.IL15,1
olink.PDCD1,1
olink.LAG3,1
olink.HAVCR2,1
olink.CD274,1
olink.LEP,1
pb.activated_memory_b_cell_ifn_alpha,1
pb.activated_memory_b_cell_ifn_gamma,1
pb.activated_memory_b_cell_il2_stat5,1
pb.activated_memory_b_cell_il6_jak_stat3,1
pb.activated_memory_b_cell_inflammatory,1
pb.activated_memory_b_cell_tnfa_nfkb,1
pb.adaptive_nk_cell_ifn_alpha,1
pb.adaptive_nk_cell_ifn_gamma,1
pb.adaptive_nk_cell_il2_stat5,1
pb.adaptive_nk_cell_il6_jak_stat3,1
pb.adaptive_nk_cell_inflammatory,1
pb.adaptive_nk_cell_tnfa_nfkb,1
pb.asdc_ifn_alpha,1
pb.asdc_ifn_gamma,1
pb.asdc_il2_stat5,1
pb.asdc_il6_jak_stat3,1
pb.asdc_inflammatory,1
pb.asdc_tnfa_nfkb,1
pb.baeomap_cell_ifn_alpha,1
pb.baeomap_cell_ifn_gamma,1
pb.baeomap_cell_il2_stat5,1
pb.baeomap_cell_il6_jak_stat3,1
pb.baeomap_cell_inflammatory,1
pb.baeomap_cell_tnfa_nfkb,1
pb.c1q_cd16_monocyte_ifn_alpha,1
pb.c1q_cd16_monocyte_ifn_gamma,1
pb.c1q_cd16_monocyte_il2_stat5,1
pb.c1q_cd16_monocyte_il6_jak_stat3,1
pb.c1q_cd16_monocyte_inflammatory,1
pb.c1q_cd16_monocyte_tnfa_nfkb,1
pb.cd14_cdc2_ifn_alpha,1
pb.cd14_cdc2_ifn_gamma,1
