from,to,constraint,contrast,pathway,celltype_L3,nes,fdr,expected_direction,gene_set_size,citation
cmv.igg_serology_interpretation,pb.cd56bright_nk_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,CD56bright NK cell,2.023,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.cm_cd8_t_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,CM CD8 T cell,1.862,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.core_cd14_monocyte_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,Core CD14 monocyte,2.093,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.core_naive_cd4_t_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,Core naive CD4 T cell,1.654,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.gzmb_cd27_em_cd4_t_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,GZMB- CD27+ EM CD4 T cell,1.99,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.gzmb_cd27_em_cd4_t_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,GZMB- CD27- EM CD4 T cell,1.636,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.gzmk_cd56dim_nk_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,GZMK+ CD56dim NK cell,1.87,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.gzmk_memory_cd4_treg_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,GZMK+ memory CD4 Treg,1.787,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.isg_cd16_monocyte_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,ISG+ CD16 monocyte,1.695,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.isg_mait_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,ISG+ MAIT,2.552,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.isg_memory_cd8_t_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,ISG+ memory CD8 T cell,1.764,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.isg_naive_cd8_t_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,ISG+ naive CD8 T cell,1.999,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.proliferating_t_cell_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,Proliferating T cell,1.897,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.cdc1_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,cDC1,1.931,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.pdc_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,pDC,2.015,0.0,up,200,Sylwester 2005 PMID:16147978
cmv.igg_serology_interpretation,pb.klrf1_effector_vd1_gdt_ifn_gamma,whitelist,Positive vs Negative,ifn_gamma,KLRF1+ effector Vd1 gdT,1.578,0.001059,up,200,Sylwester 2005 PMID:16147978
