feature_name,modality,source_column,rationale
freq.L1_b_cell,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. Included.
freq.L1_dc,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. Included.
freq.L1_erythrocyte,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L1_ilc,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. Included.
freq.L1_monocyte,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. Included.
freq.L1_nk_cell,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. Included.
freq.L1_platelet,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L1_progenitor_cell,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L1_t_cell,cell_type_freq,AIFI_L1_clr_pseudo,AIFI L1 cell type frequency (CLR with pseudocount). Coarse resolution (9 types); retained for optional high-level comparisons. Included.
freq.L2_asdc,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_cd14_monocyte,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_cd16_monocyte,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_cd56bright_nk_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_cd56dim_nk_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_cd8aa,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_cdc1,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
