subject.subjectGuid,sample.sampleKitGuid,wb.adipogenesis,wb.allograft_rejection,wb.androgen_response,wb.angiogenesis,wb.apical_junction,wb.apical_surface,wb.apoptosis,wb.bile_acid_metabolism,wb.cholesterol_homeostasis,wb.coagulation,wb.complement,wb.dna_repair,wb.e2f_targets,wb.epithelial_mesenchymal_transition,wb.estrogen_response_early,wb.estrogen_response_late,wb.fatty_acid_metabolism,wb.g2_m_checkpoint,wb.glycolysis,wb.hedgehog_signaling,wb.heme_metabolism,wb.hypoxia,wb.il_2_stat5_signaling,wb.il_6_jak_stat3_signaling,wb.inflammatory_response,wb.interferon_alpha_response,wb.interferon_gamma_response,wb.kras_signaling_dn,wb.kras_signaling_up,wb.mitotic_spindle,wb.mtorc1_signaling,wb.myc_targets_v1,wb.myc_targets_v2,wb.myogenesis,wb.notch_signaling,wb.oxidative_phosphorylation,wb.p53_pathway,wb.pancreas_beta_cells,wb.pi3k_akt_mtor_signaling,wb.pperoxisome,wb.protein_secretion,wb.reactive_oxygen_species_pathway,wb.spermatogenesis,wb.tgf_beta_signaling,wb.tnf_alpha_signaling_via_nf_kb,wb.unfolded_protein_response,wb.uv_response_dn,wb.uv_response_up,wb.wnt_beta_catenin_signaling,wb.xenobiotic_metabolism,wb.low_lib_flag
BR1001,KT00001,0.4438395129981246,0.456473781386741,0.4296507212103512,0.1266530880334752,0.1521339503813378,0.1885489502503587,0.4501632575282641,0.19856688087567456,0.40021798533577463,0.09645704962250046,0.4030213550201183,0.533986772022885,0.45343695888040947,0.04955734364243595,0.2198319412763583,0.18256903429415208,0.4176964529223866,0.431267316797671,0.33297998595851686,0.15839831745888397,0.520441446942753,0.3315342028514286,0.43074744684923566,0.4242238286794493,0.3266604352588775,0.6015923780351539,0.5774441583740134,-0.13887726480822815,0.23400961280338298,0.47683593837024835,0.5372934859574575,0.6184726781777029,0.5464408425306126,0.0921942765846099,0.3788658087085973,0.5940698338640721,0.4392796911149366,-0.16786440023066077,0.47338861977303026,0.4052148644737391,0.5541107309062522,0.6062481764103321,0.03205982014489629,0.4398308524050359,0.4352252758800133,0.552955572609335,0.30138915171101677,0.3762525781381829,0.32146772434797494,0.24629798233229944,False
BR1002,KT00002,0.46447453153901513,0.47791253101731135,0.4843450436058532,0.1850927649305565,0.26240289383114324,0.27194453843638916,0.4734777028631351,0.2611004135121245,0.45195057149125667,0.18647929260057283,0.41739327999170633,0.5529244227970221,0.5022451009899016,0.16433505109201357,0.30223944712028916,0.25307508294024444,0.43532903691854513,0.4874428192477978,0.35684628721869055,0.2271539718685815,0.5224654800309076,0.3320233925795491,0.4626550732360516,0.4674289993873409,0.3522106165317838,0.5969888676197003,0.5753172340659873,0.0012287020485095474,0.2778514116353901,0.5005311549514109,0.5569712424477881,0.6216783259352598,0.5568464228414785,0.18145065159137505,0.3723431733942593,0.5983059359530422,0.4587555027967208,-0.07917066922480137,0.5082752119448706,0.4338550064230836,0.5453109158600524,0.6030950561464092,0.10365906738379005,0.44271527351026624,0.4810322962022381,0.5527452470292763,0.3207913520292245,0.39609698306978824,0.46404125872992547,0.3043286246139753,False
BR1003,KT00003,0.45073688349103713,0.46295645628588017,0.4574359888727603,0.10844750094255905,0.202750829687,0.19736346396082852,0.47721014296022174,0.23916311501193332,0.44833577388375734,0.10435544106571498,0.4121893081919297,0.5369075986241036,0.46351242265695786,0.06471935325103957,0.23348822453158297,0.23083222921070448,0.42819777482243815,0.46047489819082055,0.33769720498970657,0.12749552111781737,0.5201338008137748,0.3286061459469584,0.4552328797020585,0.45364659252846884,0.34147050283199065,0.6203143423117164,0.6009871137826208,-0.08102683585670034,0.26511969292360066,0.47153039209635805,0.5555512319746647,0.6147631270120328,0.5418594539281693,0.13509943568513225,0.38345565872286813,0.5872469008441591,0.4512865764205121,-0.12061706337037031,0.49906716849615823,0.3923552103144451,0.5381534018163587,0.5977126151486414,0.014861329568175322,0.4709428156291364,0.4477676935281926,0.5552604297011048,0.28902194627793176,0.3755524096324301,0.38063948720449986,0.24228712209378392,False
BR1004,KT00004,0.4374256019713017,0.46964145928690937,0.43780561839710563,0.08557413387516087,0.14591066738772793,0.14704472791882942,0.4534400847917289,0.19908996192940842,0.40016875088599857,0.08090643298296857,0.39373523510017894,0.5354401023031591,0.40928668033608434,0.004239762433856115,0.1994725517974143,0.1756265800505611,0.3876652090332663,0.3953988767129487,0.2599712282514131,0.013700201402610525,0.5115796497940579,0.2783735088532293,0.41850469612069835,0.43006559218101564,0.3180852788407611,0.5827370989116843,0.561345895878283,-0.1567232963984175,0.2262084260551098,0.4577611785814481,0.5187748496083155,0.6181343680133973,0.5214234303060794,0.04844826059469433,0.3221932488745208,0.5986466555021481,0.4131797243707009,-0.1188644986489208,0.47652240877002927,0.3743827424158997,0.5281797586370035,0.5854816722258854,-0.020738181960172547,0.4527863388747382,0.4225705140560393,0.5522623609947015,0.27505797334597437,0.3775457192822259,0.2948992941097488,0.2477813944668013,False
BR1005,KT00006,0.44365866549984995,0.4639821556365208,0.4314946726063926,0.18090539613400825,0.18999290409025568,0.1960384322527637,0.4397434249951612,0.22395895976288166,0.39633391261478434,0.05336014433601956,0.39970335979792665,0.5246361947349962,0.4174617796667873,0.0381286839647448,0.23708886788243994,0.20000470559808456,0.41639128573425166,0.39472727140027825,0.32370077022509036,0.12903338123419372,0.5169295177522648,0.3259560031359921,0.4244032154341436,0.45222348766254944,0.3265521203450714,0.591833558101202,0.5756537740643783,-0.1479978126293084,0.23990005751014895,0.43735457172146497,0.5341272062786577,0.6025064369357562,0.5098295294299054,0.11813024604404952,0.3807935319933134,0.5883903273842391,0.4445205360536471,-0.14511843602696284,0.4726288581873909,0.4201863129708297,0.5545613104302817,0.5969202258044419,-0.011101275357058562,0.3968337400618842,0.41544858178638994,0.5267287626378333,0.22142976148758764,0.3656744964422217,0.44614259982051885,0.2480360602652893,False
BR1006,KT00010,0.46416931423717844,0.48744732396451124,0.46999183981886133,0.2018279710572579,0.29501102500044163,0.31788613087133466,0.4672403802368419,0.26776407424954934,0.457278831680635,0.19626223282982225,0.4387627579457269,0.541193238267611,0.49946939238363997,0.20711169251341136,0.28248358273653457,0.2516721022173437,0.4362297034974169,0.48067332750916025,0.34719469418643933,0.2104071457733048,0.5364010286998383,0.39136906504282326,0.45168256338354096,0.4653711136641053,0.3940521458342512,0.5898506663393095,0.5695450885000093,-0.003768683650202607,0.31146400273710845,0.484424398256286,0.5542954235848419,0.6256955371645034,0.5565418139835469,0.1804514549312682,0.42062932025805,0.5971868978774766,0.46388361920594234,-0.0779785637504092,0.49537580516489904,0.4276192020035921,0.5658545661481451,0.5989395554085297,0.06521093386970911,0.5217384989461732,0.44540227979389097,0.5372131035674166,0.36226442980896184,0.38194920993182285,0.446304620811486,0.2973050623881941,False
BR1008,KT00012,0.45118470363458646,0.468644799210871,0.4603609840782957,0.16476566235795598,0.21161401213577513,0.17908325062470745,0.4379752270733083,0.23298034792118677,0.4078657461132145,0.13076153828154954,0.40947555703099736,0.5431597852227669,0.5063964086383279,0.10913756956314905,0.25606044484186563,0.24323153608092996,0.4410080389890992,0.4775697039462022,0.36988202670297554,0.18053581745046487,0.536574383290969,0.3354100605332404,0.4375507185566807,0.42184978815124097,0.33099397756299986,0.5779856308275032,0.5731940594129235,-0.10116655793964181,0.26264158716938135,0.48324108278880196,0.5689529205430758,0.6195837837515238,0.5589463606631395,0.1604855657572295,0.3554078933666833,0.5923586301260504,0.4594764857875499,-0.14688078716256478,0.4990636411813139,0.4139278702137098,0.5545854400245935,0.5961360308858242,0.0009144838524617222,0.5017966321430366,0.43968435247534576,0.5511976121872014,0.337000490376467,0.41547722570320716,0.44885041433970413,0.26849489909264435,False
BR1007,KT00014,0.4611479641807529,0.4765986066191881,0.47957745584742734,0.18541009411119191,0.23404266479823194,0.28021440478997817,0.4841095128891383,0.2644500394834201,0.44093378063971145,0.13740000990894446,0.4365892555686008,0.5353696852853292,0.5024446226175256,0.14589263599316296,0.2687850586951953,0.2433053239328693,0.43321849429281584,0.490581532819662,0.36848728918471596,0.21745319313701217,0.5126466980899917,0.3287378884653227,0.46212999559254103,0.46595621450429475,0.3805371648115807,0.5916896298799647,0.5790271615191461,-0.06021231366318443,0.2690322404391255,0.5005508399473863,0.5582595416028884,0.6239405345048807,0.5388083520105296,0.16658131997996597,0.3761092777292572,0.5911920955600763,0.4439034742398174,-0.07373664783586734,0.4971842514173149,0.42411731817873644,0.5534848410281972,0.5974459397137574,0.06875981726821448,0.4573068829669802,0.46272061874954906,0.5410606855283794,0.370468632991164,0.4113809646572191,0.4447611090902638,0.29811222975387924,False
BR2003,KT00015,0.46178552130398065,0.5014664518798091,0.48729368865529077,0.16237249512186894,0.2652847914595366,0.2598700365581032,0.4943809111948109,0.2554770286372063,0.43472416019989474,0.18138909695471173,0.47188146100338735,0.5410979544227634,0.4906309986832653,0.1750465854976202,0.2833488424822004,0.2694490982127994,0.4544275310042877,0.48308391939564505,0.36189849912279753,0.23986838271207306,0.5452292989573724,0.38533086864260746,0.482663240657809,0.45427080941474135,0.3645632955719584,0.6066313139559097,0.5851095460263315,-0.040226917457438956,0.3261878666124038,0.47411715132551097,0.55995796268111,0.6228439752847017,0.5582651405538918,0.1955308483486879,0.37596649580814756,0.5983374085773278,0.4713041270746746,-0.07029778626018014,0.49655451346702423,0.4240810803177573,0.569434686988553,0.6032925513357043,0.09100417373891292,0.5140693942052991,0.4821580716638761,0.5507237116608759,0.3634128640553804,0.4282428037552904,0.4621611275118769,0.3317510849731288,False
BR2002,KT00016,0.46679849107670357,0.463340967469691,0.49565985589855527,0.1926473205742159,0.22438534726925058,0.21362899038275476,0.4881930998334291,0.23526762477639496,0.4455130729094847,0.14462627070950393,0.41495977109977605,0.5347656355994866,0.4803310354845664,0.13616727476961932,0.2709912552626307,0.2520748163349697,0.41443010363185445,0.4669144998723533,0.36055376392988797,0.2578707626686629,0.5394827985141138,0.36689942999285635,0.4578827837232644,0.45343704567583704,0.35727178225212697,0.5884690040276628,0.5656833870824377,-0.054372887629390784,0.2833859388078326,0.4875794416553124,0.5569248286191627,0.6163499900900589,0.5380363035237271,0.13790997990228654,0.3150269651977137,0.5961988778776616,0.43789691142300724,-0.09028459314163209,0.5029390724091156,0.4066853438275224,0.5675320895088722,0.592511547327791,0.015848075350291653,0.47775379012765745,0.4389980313078478,0.5435917558125349,0.3071893128305347,0.3696836568286416,0.3845681814968809,0.2607368672147613,False
