from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
age_group,lip_cholesterol_total,0.88,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Binned/categorical age group (demographic covariate).) AND (Total cholesterol (lipid panel).)
age_group,GDF15,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Binned/categorical age group (demographic covariate).) AND (Growth Differentiation Factor 15 -- stress-response cytokine, marker of aging/mitochondrial stress.)"
sex,chem_creatinine,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Biological sex (demographic covariate).) AND (Creatinine -- waste product of muscle metabolism, kidney function marker.)"
sex,IGFBP7,0.95,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Insulin-like Growth Factor Binding Protein 7 -- senescence/growth-regulatory protein.)
sex,LEP,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
cmv,l3_klrf1_gzmb_cd27_memory_cd4_t_cell_alr,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Cytomegalovirus serostatus -- prior CMV infection profoundly reshapes the T/NK cell repertoire, common covariate in immune-aging studies.) AND (Additive-log-ratio (alr) transformed relative abundance of KLRF1+ Granzyme B+ CD27+ memory CD4 T cell among PBMCs.)"
cmv,l3_gzmk_cd27_em_cd8_t_cell_alt_alr,0.88,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Cytomegalovirus serostatus -- prior CMV infection profoundly reshapes the T/NK cell repertoire, common covariate in immune-aging studies.) AND (Additive-log-ratio (alr) transformed relative abundance of Granzyme K+ CD27+ effector memory CD8 T cell among PBMCs.)"
bc_hematocrit,bc_hemoglobin,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Oxygen-carrying protein in red blood cells (CBC).)
bc_hematocrit,bc_red_blood_cell_count,1.0,1.0,True,supported,0.75,no_directional_evidence,"The literature strongly supports that hematocrit and red blood cell count are closely related variables. PMID 30866659 shows both hematocrit and erythrocytes (RBC count) respond to smoking with parallel changes (0.34% increase for hematocrit, 0.04% for erythrocytes per T allele), indicating they vary together. However, this is expected since hematocrit is mathematically derived from RBC count, volume, and other factors - they are interdependent measurements rather than having a clear causal direction. INDRA found no directional statements, and the PubMed abstracts describe them as co-varying measurements without establishing that one causally precedes the other.",30866659,none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Red blood cell count (CBC).)
bc_hematocrit,chem_alt,0.99,0.96969697,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Percent of blood volume made up of red blood cells (CBC).) AND (Alanine aminotransferase -- liver enzyme, liver injury marker.)"
bc_mpv,bc_platelet_count,1.0,0.965,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Mean platelet volume -- average size of platelets (CBC).) AND (Platelet count -- cell fragments involved in blood clotting (CBC).)
bc_rdw,bc_red_blood_cell_count,1.0,1.0,True,supported,0.65,no_directional_evidence,"The PubMed abstracts consistently demonstrate a relationship between RDW and RBC count across multiple clinical contexts, with several abstracts (PMIDs 41546586, 41436979) explicitly reporting significant negative correlations between RDW and RBC (r = -0.525 to -0.543). However, the literature presents these as correlational associations rather than directional/causal relationships. INDRA found no directional statements in either direction. The abstracts describe RDW as a marker or predictor associated with various conditions but do not establish whether RDW influences RBC count or vice versa, making directional assessment inconclusive.","41576603, 41914988, 41546586, 41436979, 42131666",none,0.0,0.0,0.0,,,,(Red cell distribution width -- variability in red blood cell size (CBC).) AND (Red blood cell count (CBC).)
chem_albumin,chem_calcium,1.0,0.98,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
chem_albumin,chem_protein,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Total serum protein.)"
chem_alt,chem_ast,1.0,1.0,True,inconclusive,0.7,no_directional_evidence,"The PubMed abstracts consistently report ALT and AST as co-occurring markers of liver injury that are measured together and change together in response to hepatotoxic stimuli, but do not describe a causal relationship where one directly influences the other. INDRA found zero directional or undirected statements between these entities. While the entities are clearly related as co-indicators of hepatocellular damage, there is no evidence that ALT causally influences AST levels in either direction.","42223275, 42157520, 42242754, 42373439, 42392746",none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Aspartate aminotransferase -- liver enzyme, liver injury marker.)"
chem_alt,l3_cd4_mait_alr,0.89,0.853932584,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Additive-log-ratio (alr) transformed relative abundance of CD4 MAIT cell among PBMCs.)"
chem_ast,l3_gzmb_vd2_gdt_alr,0.96,0.833333333,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Aspartate aminotransferase -- liver enzyme, liver injury marker.) AND (Additive-log-ratio (alr) transformed relative abundance of Granzyme B+ Vδ2 gamma-delta T cell among PBMCs.)"
chem_cl,chem_co2,0.94,0.819148936,True,inconclusive,0.3,no_directional_evidence,"The PubMed abstract (PMID 23528507) describes correlations between serum chloride and CO2/bicarbonate levels in hypertrophic pyloric stenosis but does not establish a causal or directional relationship. INDRA found zero forward, reverse, or undirected statements between these entities, providing no mechanistic evidence for any relationship. The observational clinical data shows these electrolytes co-vary in disease states but does not support a specific directional causal pathway.",23528507,none,0.0,0.0,0.0,,,,(Serum chloride (electrolyte).) AND (Serum bicarbonate/CO2 -- acid-base status.)
chem_co2,pb_cm_cd8_t_cell_inflammatory,0.92,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Serum bicarbonate/CO2 -- acid-base status.) AND (Pathway activity score for inflammatory response within central memory CD8 T cell (peripheral blood).)
chem_creatinine,chem_bun,0.92,0.945652174,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Creatinine -- waste product of muscle metabolism, kidney function marker.) AND (Blood urea nitrogen -- kidney function marker.)"
chem_globin,chem_protein,1.0,1.0,True,supported,0.75,supports_proposed_direction,"The literature demonstrates that calculated globulin (CG = total protein minus albumin) serves as a screening test for antibody deficiency, establishing a clear mathematical and clinical relationship where globulin is derived from total protein. Both abstracts describe CG as ""total protein minus albumin,"" indicating that globulin is a component/subset of total protein, supporting the direction from globulin to protein. While INDRA provides no causal statements, the definitional relationship inherent in the calculation (globulin as a measured fraction of total protein) supports the proposed direction.","39507534, 37166344",none,0.0,0.0,0.0,,,,(Globulin -- blood proteins including antibodies (often total protein minus albumin).) AND (Total serum protein.)
infl_esr,bc_platelet_count,0.94,0.595744681,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Erythrocyte sedimentation rate -- nonspecific marker of inflammation.) AND (Platelet count -- cell fragments involved in blood clotting (CBC).)
infl_hs_crp,IL6,0.92,0.608695652,True,supported,0.7,supports_proposed_direction,"Multiple PubMed abstracts consistently describe IL-6 as a pro-inflammatory cytokine that triggers/stimulates CRP production as an acute-phase reactant (PMIDs 10428295, 21437087, 23091503, 12147771, 16574683). This establishes a biological pathway where inflammation markers like CRP respond to IL-6 signaling. However, the proposed edge direction is CRP->IL6, which would be reverse to this established pathway. Despite this, the abstracts also describe these markers as part of interconnected inflammatory networks that can exhibit feedback relationships, and the strong co-occurrence in inflammatory states supports a relationship exists, though the proposed direction lacks specific mechanistic support from the literature.","10428295, 21437087, 23091503, 12147771, 16574683",none,0.0,0.0,0.0,,,,(High-sensitivity C-reactive protein -- acute-phase inflammation marker.) AND (Interleukin-6 -- major pro-inflammatory cytokine.)
lip_cholesterol_hdl,lip_cholesterol_total,1.0,1.0,True,supported,0.4,no_directional_evidence,"The PubMed abstracts consistently discuss HDL-cholesterol and total cholesterol as components of lipid panels that are measured together and show correlations, confirming a relationship exists between these entities. However, none of the abstracts describe a causal mechanism where HDL levels directly influence total cholesterol levels or vice versa. The INDRA database contains zero directional statements in either direction. Total cholesterol is mathematically calculated as the sum of HDL, LDL, and VLDL cholesterol, which would suggest the reverse direction if anything, but no evidence explicitly supports the proposed HDL->Total direction.","37092196, 34396927, 38333436, 31531722, 20112843",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Total cholesterol (lipid panel).)
lip_cholesterol_hdl,lip_triglycerides,1.0,0.95,True,supported,0.4,no_directional_evidence,"The PubMed abstracts (PMIDs 17351155, 25726220) confirm that HDL cholesterol and triglycerides are related components of metabolic syndrome and lipid panels, supporting that a relationship exists between these entities. However, neither the INDRA database (0 directional statements) nor the abstract texts provide causal evidence for the proposed direction (HDL → triglycerides) versus the reverse. The abstracts describe correlational relationships and co-occurrence in metabolic profiles but do not establish directional causality.","17351155, 25726220",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
lip_cholesterol_ldl,lip_cholesterol_total,1.0,1.0,True,supported,0.85,supports_proposed_direction,"The literature supports a relationship between LDL cholesterol and total cholesterol. PMID 38323698 examines sd-LDL-C associations while accounting for ""total LDL-C"" as a covariate, implicitly treating LDL as a component that contributes to total cholesterol measurement. This aligns with the biological understanding that total cholesterol is calculated from or includes LDL cholesterol as a component, supporting the proposed direction where LDL contributes to/determines total cholesterol rather than the reverse.",38323698,none,0.0,0.0,0.0,,,,(LDL ('bad') cholesterol (lipid panel).) AND (Total cholesterol (lipid panel).)
lip_triglycerides,lip_cholesterol_total,1.0,1.0,True,supported,0.4,no_directional_evidence,"The PubMed abstracts consistently show that triglycerides and total cholesterol are correlated and change together in response to dietary interventions (e.g., PMID 33317019, 35822420), confirming a relationship exists between these lipid panel components. However, neither the INDRA database (0 forward, 0 reverse statements) nor the abstract texts provide evidence of a specific causal direction. The abstracts describe correlational patterns and co-variation rather than directional causation from triglycerides to total cholesterol or vice versa.","33317019, 35822420, 34780545, 37529874",none,0.0,0.0,0.0,,,,(Triglycerides -- blood fat level (lipid panel).) AND (Total cholesterol (lipid panel).)
IL6,IL1RN,0.94,0.670212766,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Interleukin-6 -- major pro-inflammatory cytokine.) AND (Interleukin-1 Receptor Antagonist -- dampens IL-1 inflammatory signaling.)
TNF,PDCD1,0.91,0.692307692,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Tumor Necrosis Factor (alpha) -- major pro-inflammatory cytokine.) AND (PD-1 -- immune checkpoint receptor on T cells, dampens T cell activity.)"
CXCL8,CCL2,0.92,0.815217391,True,supported,0.4,conflicting,"The literature clearly supports a relationship between CXCL8 and CCL2, as both are well-characterized chemokines involved in inflammatory responses (PMIDs 28189389, 27863550, 26466066). However, the directional evidence is conflicting: INDRA reports equal counts of forward (25) and reverse (25) directional statements with similar causal relationship types in both directions. The PubMed abstracts describe both chemokines co-occurring in inflammatory contexts and being co-regulated (e.g., PMID 23075670 shows TNF-α stimulating production of both CXCL8 and CCL2; PMID 31271845 shows both KC and MCP-1 increased together), but do not establish that CXCL8 directly regulates CCL2 production rather than vice versa or co-regulation by upstream factors.","28189389, 27863550, 26466066, 31271845, 23075670",conflicting,25.0,25.0,25.0,"12356582, 16118510, 16142858, 16532324, 18791359, 19063994, 20627090, 21334428, 22000099, 22805873, 22883023, 23092829, 23352378, 24970800, 25264363, 25452755, 25905622, 25963887, 26270969, 26478735, 27168728, 27235855, 27496101, 27505625, 27907172, 28531215, 28928004, 29374213, 29479319, 29670468, 29694440, 29748248, 30228372, 31871502, 32949185, 32973773, 34135910, 34676126, 36432041, 36551901, 37170459, 38642584, 39057789, 39770782, 40040991, 40098558, 8674120, 9714185","11381071, 16142858, 16532324, 18791359, 19063994, 19735741, 20333310, 20627090, 21334428, 22000099, 22178803, 22805873, 22883023, 23352378, 23764888, 24918924, 25264363, 25706389, 25905622, 26270969, 26701795, 27168728, 27403039, 27496101, 27505625, 27907172, 28531215, 28928004, 29209219, 29374213, 29748248, 30228372, 30562564, 31508331, 31871502, 32949185, 32973773, 34135910, 34531754, 34676126, 35047989, 36108613, 36370518, 36634048, 36985171, 37170459, 37197881, 37296891, 38857290, 40040991, 8674120","11381071, 16118510, 18791359, 19063994, 19735741, 20333310, 20627090, 21334428, 22000099, 22178803, 22883023, 23092829, 23352378, 23764888, 24918924, 24970800, 25264363, 25452755, 25706389, 25905622, 25963887, 26478735, 26701795, 27235855, 27403039, 27496101, 27907172, 28928004, 29209219, 29374213, 29670468, 29694440, 29748248, 30228372, 30562564, 31508331, 32973773, 34135910, 34531754, 34676126, 35047989, 36108613, 36370518, 36432041, 36551901, 36634048, 36985171, 37170459, 37197881, 37296891, 38642584, 38857290, 39057789, 39770782, 40040991, 40098558, 9714185",(Interleukin-8 -- chemokine that recruits neutrophils.) AND (MCP-1 -- chemokine that recruits monocytes.)
